geneSymbol,diseaseId,diseaseName
OCLN,C4704874,"Mammary Carcinoma, Human"
ATF4,C0021367,Mammary Ductal Carcinoma
BAG1,C0021367,Mammary Ductal Carcinoma
CDH1,C0021367,Mammary Ductal Carcinoma
CLDN4,C0021367,Mammary Ductal Carcinoma
ERBB2,C0021367,Mammary Ductal Carcinoma
SMAD4,C0021367,Mammary Ductal Carcinoma
SERPINB5,C0021367,Mammary Ductal Carcinoma
PTGER1,C0021367,Mammary Ductal Carcinoma
PTGS2,C0021367,Mammary Ductal Carcinoma
SOD2,C0021367,Mammary Ductal Carcinoma
SLC9A3R1,C0021367,Mammary Ductal Carcinoma
NAT2,C1458155,Mammary Neoplasms
ABL1,C1458155,Mammary Neoplasms
ACHE,C1458155,Mammary Neoplasms
ACTA2,C1458155,Mammary Neoplasms
ACVR1,C1458155,Mammary Neoplasms
ADAM10,C1458155,Mammary Neoplasms
ADAR,C1458155,Mammary Neoplasms
PARP1,C1458155,Mammary Neoplasms
AFP,C1458155,Mammary Neoplasms
JAG1,C1458155,Mammary Neoplasms
AHR,C1458155,Mammary Neoplasms
AKT1,C1458155,Mammary Neoplasms
AKT2,C1458155,Mammary Neoplasms
ALDOA,C1458155,Mammary Neoplasms
ALK,C1458155,Mammary Neoplasms
NUDT2,C1458155,Mammary Neoplasms
BIRC2,C1458155,Mammary Neoplasms
BIRC5,C1458155,Mammary Neoplasms
APRT,C1458155,Mammary Neoplasms
AR,C1458155,Mammary Neoplasms
ARAF,C1458155,Mammary Neoplasms
AREG,C1458155,Mammary Neoplasms
ARF1,C1458155,Mammary Neoplasms
ARHGDIA,C1458155,Mammary Neoplasms
ATM,C1458155,Mammary Neoplasms
ATP7B,C1458155,Mammary Neoplasms
BAG1,C1458155,Mammary Neoplasms
BARD1,C1458155,Mammary Neoplasms
BAX,C1458155,Mammary Neoplasms
BCHE,C1458155,Mammary Neoplasms
CCND1,C1458155,Mammary Neoplasms
BCL2,C1458155,Mammary Neoplasms
BCL2A1,C1458155,Mammary Neoplasms
BMP2,C1458155,Mammary Neoplasms
BMP4,C1458155,Mammary Neoplasms
BMPR2,C1458155,Mammary Neoplasms
BRCA1,C1458155,Mammary Neoplasms
BRCA2,C1458155,Mammary Neoplasms
C1QBP,C1458155,Mammary Neoplasms
CASP7,C1458155,Mammary Neoplasms
CASP8,C1458155,Mammary Neoplasms
CAT,C1458155,Mammary Neoplasms
CAV1,C1458155,Mammary Neoplasms
CCNE1,C1458155,Mammary Neoplasms
CCNH,C1458155,Mammary Neoplasms
CD40,C1458155,Mammary Neoplasms
CD74,C1458155,Mammary Neoplasms
CDA,C1458155,Mammary Neoplasms
CDH1,C1458155,Mammary Neoplasms
CDH2,C1458155,Mammary Neoplasms
CDH5,C1458155,Mammary Neoplasms
CDKN1B,C1458155,Mammary Neoplasms
CDKN2A,C1458155,Mammary Neoplasms
CENPF,C1458155,Mammary Neoplasms
CFL1,C1458155,Mammary Neoplasms
CHEK1,C1458155,Mammary Neoplasms
CLIC1,C1458155,Mammary Neoplasms
CNR2,C1458155,Mammary Neoplasms
COL7A1,C1458155,Mammary Neoplasms
COMT,C1458155,Mammary Neoplasms
CLDN4,C1458155,Mammary Neoplasms
CPT1A,C1458155,Mammary Neoplasms
CRHR1,C1458155,Mammary Neoplasms
CSF1,C1458155,Mammary Neoplasms
CSF1R,C1458155,Mammary Neoplasms
CSF2,C1458155,Mammary Neoplasms
CSF3,C1458155,Mammary Neoplasms
CST6,C1458155,Mammary Neoplasms
CTNNB1,C1458155,Mammary Neoplasms
CYP1A1,C1458155,Mammary Neoplasms
CYP1B1,C1458155,Mammary Neoplasms
CYP2D6,C1458155,Mammary Neoplasms
CYP3A4,C1458155,Mammary Neoplasms
CYP17A1,C1458155,Mammary Neoplasms
CYP19A1,C1458155,Mammary Neoplasms
CYP24A1,C1458155,Mammary Neoplasms
DDIT3,C1458155,Mammary Neoplasms
DES,C1458155,Mammary Neoplasms
DHFR,C1458155,Mammary Neoplasms
NQO1,C1458155,Mammary Neoplasms
DIO3,C1458155,Mammary Neoplasms
DNMT1,C1458155,Mammary Neoplasms
DNMT3A,C1458155,Mammary Neoplasms
DNMT3B,C1458155,Mammary Neoplasms
DPYD,C1458155,Mammary Neoplasms
DSC3,C1458155,Mammary Neoplasms
E2F1,C1458155,Mammary Neoplasms
LPAR1,C1458155,Mammary Neoplasms
EDNRB,C1458155,Mammary Neoplasms
EEF1B2,C1458155,Mammary Neoplasms
EEF2,C1458155,Mammary Neoplasms
EFNA1,C1458155,Mammary Neoplasms
EGF,C1458155,Mammary Neoplasms
EGFR,C1458155,Mammary Neoplasms
ELK3,C1458155,Mammary Neoplasms
ENO1,C1458155,Mammary Neoplasms
EP300,C1458155,Mammary Neoplasms
EPHB4,C1458155,Mammary Neoplasms
EPOR,C1458155,Mammary Neoplasms
NR2F6,C1458155,Mammary Neoplasms
ERBB2,C1458155,Mammary Neoplasms
ERBB3,C1458155,Mammary Neoplasms
FBL,C1458155,Mammary Neoplasms
ESR1,C1458155,Mammary Neoplasms
ESR2,C1458155,Mammary Neoplasms
ESRRA,C1458155,Mammary Neoplasms
ETS2,C1458155,Mammary Neoplasms
ETV4,C1458155,Mammary Neoplasms
MECOM,C1458155,Mammary Neoplasms
EZH2,C1458155,Mammary Neoplasms
F3,C1458155,Mammary Neoplasms
FABP7,C1458155,Mammary Neoplasms
FASN,C1458155,Mammary Neoplasms
EFEMP1,C1458155,Mammary Neoplasms
FGF3,C1458155,Mammary Neoplasms
FGF4,C1458155,Mammary Neoplasms
FGF10,C1458155,Mammary Neoplasms
FGFR1,C1458155,Mammary Neoplasms
FGFR2,C1458155,Mammary Neoplasms
FHL2,C1458155,Mammary Neoplasms
FOXM1,C1458155,Mammary Neoplasms
FLNA,C1458155,Mammary Neoplasms
FLT1,C1458155,Mammary Neoplasms
FN1,C1458155,Mammary Neoplasms
FOS,C1458155,Mammary Neoplasms
MTOR,C1458155,Mammary Neoplasms
GDF10,C1458155,Mammary Neoplasms
GJA1,C1458155,Mammary Neoplasms
GNAI2,C1458155,Mammary Neoplasms
GPI,C1458155,Mammary Neoplasms
GPER1,C1458155,Mammary Neoplasms
GPX1,C1458155,Mammary Neoplasms
GPX2,C1458155,Mammary Neoplasms
GPX4,C1458155,Mammary Neoplasms
GRB7,C1458155,Mammary Neoplasms
GRIK2,C1458155,Mammary Neoplasms
CXCL2,C1458155,Mammary Neoplasms
CXCL3,C1458155,Mammary Neoplasms
GSTP1,C1458155,Mammary Neoplasms
GUCY1A2,C1458155,Mammary Neoplasms
GZMB,C1458155,Mammary Neoplasms
H1-2,C1458155,Mammary Neoplasms
H2AX,C1458155,Mammary Neoplasms
HADHB,C1458155,Mammary Neoplasms
NRG1,C1458155,Mammary Neoplasms
HHEX,C1458155,Mammary Neoplasms
HIC1,C1458155,Mammary Neoplasms
HIF1A,C1458155,Mammary Neoplasms
HMMR,C1458155,Mammary Neoplasms
HMOX1,C1458155,Mammary Neoplasms
FOXA1,C1458155,Mammary Neoplasms
HNRNPK,C1458155,Mammary Neoplasms
HNRNPL,C1458155,Mammary Neoplasms
HOXB9,C1458155,Mammary Neoplasms
HOXD11,C1458155,Mammary Neoplasms
HP,C1458155,Mammary Neoplasms
HRAS,C1458155,Mammary Neoplasms
HRG,C1458155,Mammary Neoplasms
HES1,C1458155,Mammary Neoplasms
HSPA1B,C1458155,Mammary Neoplasms
HSP90AA1,C1458155,Mammary Neoplasms
IBSP,C1458155,Mammary Neoplasms
IFNB1,C1458155,Mammary Neoplasms
IFNG,C1458155,Mammary Neoplasms
IGBP1,C1458155,Mammary Neoplasms
IGF1,C1458155,Mammary Neoplasms
IGF1R,C1458155,Mammary Neoplasms
IGFBP5,C1458155,Mammary Neoplasms
IGFBP7,C1458155,Mammary Neoplasms
IL1B,C1458155,Mammary Neoplasms
IL6,C1458155,Mammary Neoplasms
CXCL8,C1458155,Mammary Neoplasms
IL10,C1458155,Mammary Neoplasms
IDO1,C1458155,Mammary Neoplasms
EIF6,C1458155,Mammary Neoplasms
JAG2,C1458155,Mammary Neoplasms
JUN,C1458155,Mammary Neoplasms
KCNH1,C1458155,Mammary Neoplasms
KDR,C1458155,Mammary Neoplasms
KIT,C1458155,Mammary Neoplasms
KRAS,C1458155,Mammary Neoplasms
KRT5,C1458155,Mammary Neoplasms
KRT8,C1458155,Mammary Neoplasms
KRT14,C1458155,Mammary Neoplasms
KRT18,C1458155,Mammary Neoplasms
STMN1,C1458155,Mammary Neoplasms
LDHB,C1458155,Mammary Neoplasms
LEP,C1458155,Mammary Neoplasms
LEPR,C1458155,Mammary Neoplasms
LLGL2,C1458155,Mammary Neoplasms
LLGL1,C1458155,Mammary Neoplasms
LOXL2,C1458155,Mammary Neoplasms
LSP1,C1458155,Mammary Neoplasms
MAL,C1458155,Mammary Neoplasms
MAN2C1,C1458155,Mammary Neoplasms
MDM2,C1458155,Mammary Neoplasms
MDM4,C1458155,Mammary Neoplasms
MEIS1,C1458155,Mammary Neoplasms
MAP3K1,C1458155,Mammary Neoplasms
MFGE8,C1458155,Mammary Neoplasms
MIF,C1458155,Mammary Neoplasms
CXCL9,C1458155,Mammary Neoplasms
MKI67,C1458155,Mammary Neoplasms
MME,C1458155,Mammary Neoplasms
MMP1,C1458155,Mammary Neoplasms
MMP2,C1458155,Mammary Neoplasms
MMP3,C1458155,Mammary Neoplasms
MMP9,C1458155,Mammary Neoplasms
MMP14,C1458155,Mammary Neoplasms
ABCC1,C1458155,Mammary Neoplasms
MST1,C1458155,Mammary Neoplasms
MT3,C1458155,Mammary Neoplasms
MTHFR,C1458155,Mammary Neoplasms
MTR,C1458155,Mammary Neoplasms
MYH9,C1458155,Mammary Neoplasms
PPP1R12B,C1458155,Mammary Neoplasms
NDUFS3,C1458155,Mammary Neoplasms
NFKBIA,C1458155,Mammary Neoplasms
NMBR,C1458155,Mammary Neoplasms
NQO2,C1458155,Mammary Neoplasms
NOS2,C1458155,Mammary Neoplasms
NOS3,C1458155,Mammary Neoplasms
NOTCH1,C1458155,Mammary Neoplasms
NOTCH2,C1458155,Mammary Neoplasms
NOTCH3,C1458155,Mammary Neoplasms
NOTCH4,C1458155,Mammary Neoplasms
NRCAM,C1458155,Mammary Neoplasms
YBX1,C1458155,Mammary Neoplasms
ROR1,C1458155,Mammary Neoplasms
SLC22A18,C1458155,Mammary Neoplasms
PAEP,C1458155,Mammary Neoplasms
SERPINB2,C1458155,Mammary Neoplasms
PAK1,C1458155,Mammary Neoplasms
PDE2A,C1458155,Mammary Neoplasms
PDGFA,C1458155,Mammary Neoplasms
PDPK1,C1458155,Mammary Neoplasms
PDZK1,C1458155,Mammary Neoplasms
PGR,C1458155,Mammary Neoplasms
ABCB1,C1458155,Mammary Neoplasms
PHB,C1458155,Mammary Neoplasms
SERPINB5,C1458155,Mammary Neoplasms
PIK3CA,C1458155,Mammary Neoplasms
PIM1,C1458155,Mammary Neoplasms
PIN1,C1458155,Mammary Neoplasms
PLA2G4A,C1458155,Mammary Neoplasms
MAP2K7,C1458155,Mammary Neoplasms
KLK10,C1458155,Mammary Neoplasms
PTEN,C1458155,Mammary Neoplasms
PTGS1,C1458155,Mammary Neoplasms
PTGS2,C1458155,Mammary Neoplasms
PTHLH,C1458155,Mammary Neoplasms
PTPRD,C1458155,Mammary Neoplasms
NECTIN2,C1458155,Mammary Neoplasms
RAD51,C1458155,Mammary Neoplasms
RAD51C,C1458155,Mammary Neoplasms
RAD51B,C1458155,Mammary Neoplasms
RAF1,C1458155,Mammary Neoplasms
RARA,C1458155,Mammary Neoplasms
RARB,C1458155,Mammary Neoplasms
RB1,C1458155,Mammary Neoplasms
RBM3,C1458155,Mammary Neoplasms
RECQL,C1458155,Mammary Neoplasms
RELA,C1458155,Mammary Neoplasms
RGS2,C1458155,Mammary Neoplasms
RPL23A,C1458155,Mammary Neoplasms
RPL31,C1458155,Mammary Neoplasms
RPLP2,C1458155,Mammary Neoplasms
RPS4X,C1458155,Mammary Neoplasms
RPS6,C1458155,Mammary Neoplasms
RPS6KB2,C1458155,Mammary Neoplasms
RPS7,C1458155,Mammary Neoplasms
RPS8,C1458155,Mammary Neoplasms
RRAD,C1458155,Mammary Neoplasms
RXRB,C1458155,Mammary Neoplasms
CCL20,C1458155,Mammary Neoplasms
CXCL12,C1458155,Mammary Neoplasms
SFRP1,C1458155,Mammary Neoplasms
SFRP2,C1458155,Mammary Neoplasms
SFRP5,C1458155,Mammary Neoplasms
SHMT1,C1458155,Mammary Neoplasms
SIM1,C1458155,Mammary Neoplasms
SLC2A1,C1458155,Mammary Neoplasms
SLC2A2,C1458155,Mammary Neoplasms
SLC2A5,C1458155,Mammary Neoplasms
SLC5A5,C1458155,Mammary Neoplasms
SNAI2,C1458155,Mammary Neoplasms
SNAI1,C1458155,Mammary Neoplasms
SNCG,C1458155,Mammary Neoplasms
SOD2,C1458155,Mammary Neoplasms
SPP1,C1458155,Mammary Neoplasms
SRC,C1458155,Mammary Neoplasms
SREBF2,C1458155,Mammary Neoplasms
STAT3,C1458155,Mammary Neoplasms
STAT5A,C1458155,Mammary Neoplasms
AURKA,C1458155,Mammary Neoplasms
SULT1A1,C1458155,Mammary Neoplasms
TBX3,C1458155,Mammary Neoplasms
ZEB1,C1458155,Mammary Neoplasms
TERT,C1458155,Mammary Neoplasms
TFAP2A,C1458155,Mammary Neoplasms
NR2F1,C1458155,Mammary Neoplasms
TFRC,C1458155,Mammary Neoplasms
TGFBR2,C1458155,Mammary Neoplasms
TGM2,C1458155,Mammary Neoplasms
THBS1,C1458155,Mammary Neoplasms
ICAM5,C1458155,Mammary Neoplasms
TLE3,C1458155,Mammary Neoplasms
TNF,C1458155,Mammary Neoplasms
TOP2A,C1458155,Mammary Neoplasms
TP53,C1458155,Mammary Neoplasms
TP53BP1,C1458155,Mammary Neoplasms
TP53BP2,C1458155,Mammary Neoplasms
TP73,C1458155,Mammary Neoplasms
TXN,C1458155,Mammary Neoplasms
TYMS,C1458155,Mammary Neoplasms
UPK1B,C1458155,Mammary Neoplasms
UMPS,C1458155,Mammary Neoplasms
VDR,C1458155,Mammary Neoplasms
VEGFB,C1458155,Mammary Neoplasms
VEGFC,C1458155,Mammary Neoplasms
VIM,C1458155,Mammary Neoplasms
NSD2,C1458155,Mammary Neoplasms
WNT10B,C1458155,Mammary Neoplasms
WT1,C1458155,Mammary Neoplasms
XRCC2,C1458155,Mammary Neoplasms
XRCC3,C1458155,Mammary Neoplasms
DAP3,C1458155,Mammary Neoplasms
CXCR4,C1458155,Mammary Neoplasms
DEK,C1458155,Mammary Neoplasms
TFPI2,C1458155,Mammary Neoplasms
CUL5,C1458155,Mammary Neoplasms
KMT2D,C1458155,Mammary Neoplasms
NCOA3,C1458155,Mammary Neoplasms
NRIP1,C1458155,Mammary Neoplasms
BAP1,C1458155,Mammary Neoplasms
H2BC4,C1458155,Mammary Neoplasms
BCAR3,C1458155,Mammary Neoplasms
RAD54L,C1458155,Mammary Neoplasms
PPM1D,C1458155,Mammary Neoplasms
ELP1,C1458155,Mammary Neoplasms
STC2,C1458155,Mammary Neoplasms
NCOA1,C1458155,Mammary Neoplasms
TNFSF10,C1458155,Mammary Neoplasms
PER3,C1458155,Mammary Neoplasms
SYNJ2,C1458155,Mammary Neoplasms
EIF2S2,C1458155,Mammary Neoplasms
ARTN,C1458155,Mammary Neoplasms
PRC1,C1458155,Mammary Neoplasms
CLDN1,C1458155,Mammary Neoplasms
SLC16A3,C1458155,Mammary Neoplasms
SLC28A1,C1458155,Mammary Neoplasms
EXO1,C1458155,Mammary Neoplasms
REPS2,C1458155,Mammary Neoplasms
ABCG2,C1458155,Mammary Neoplasms
THEMIS2,C1458155,Mammary Neoplasms
ADAMTS1,C1458155,Mammary Neoplasms
H6PD,C1458155,Mammary Neoplasms
APOBEC3B,C1458155,Mammary Neoplasms
AKAP12,C1458155,Mammary Neoplasms
NCOR1,C1458155,Mammary Neoplasms
TCL1B,C1458155,Mammary Neoplasms
ZNF432,C1458155,Mammary Neoplasms
STARD8,C1458155,Mammary Neoplasms
MRPL19,C1458155,Mammary Neoplasms
RB1CC1,C1458155,Mammary Neoplasms
ZEB2,C1458155,Mammary Neoplasms
ZC3H11A,C1458155,Mammary Neoplasms
LRRC37A,C1458155,Mammary Neoplasms
MED12,C1458155,Mammary Neoplasms
TANK,C1458155,Mammary Neoplasms
HNRNPR,C1458155,Mammary Neoplasms
APC2,C1458155,Mammary Neoplasms
TNIP1,C1458155,Mammary Neoplasms
TUBB3,C1458155,Mammary Neoplasms
NDRG1,C1458155,Mammary Neoplasms
YAP1,C1458155,Mammary Neoplasms
GPNMB,C1458155,Mammary Neoplasms
FST,C1458155,Mammary Neoplasms
HOXB13,C1458155,Mammary Neoplasms
NCOA2,C1458155,Mammary Neoplasms
UBD,C1458155,Mammary Neoplasms
LAMTOR5,C1458155,Mammary Neoplasms
AGR2,C1458155,Mammary Neoplasms
SLCO1B1,C1458155,Mammary Neoplasms
LBX1,C1458155,Mammary Neoplasms
CTCF,C1458155,Mammary Neoplasms
HPSE,C1458155,Mammary Neoplasms
IL24,C1458155,Mammary Neoplasms
B4GAT1,C1458155,Mammary Neoplasms
UBE2C,C1458155,Mammary Neoplasms
DEPP1,C1458155,Mammary Neoplasms
BTN3A2,C1458155,Mammary Neoplasms
NISCH,C1458155,Mammary Neoplasms
CHEK2,C1458155,Mammary Neoplasms
ZNF365,C1458155,Mammary Neoplasms
DKK1,C1458155,Mammary Neoplasms
CCT5,C1458155,Mammary Neoplasms
KLHDC10,C1458155,Mammary Neoplasms
EPB41L3,C1458155,Mammary Neoplasms
JMJD6,C1458155,Mammary Neoplasms
VPS39,C1458155,Mammary Neoplasms
SYNE1,C1458155,Mammary Neoplasms
COTL1,C1458155,Mammary Neoplasms
SIRT1,C1458155,Mammary Neoplasms
HEY1,C1458155,Mammary Neoplasms
HEY2,C1458155,Mammary Neoplasms
CADM1,C1458155,Mammary Neoplasms
SLC39A6,C1458155,Mammary Neoplasms
SETBP1,C1458155,Mammary Neoplasms
RIBC2,C1458155,Mammary Neoplasms
PHGDH,C1458155,Mammary Neoplasms
HEYL,C1458155,Mammary Neoplasms
PABPC1,C1458155,Mammary Neoplasms
CLUL1,C1458155,Mammary Neoplasms
RNF115,C1458155,Mammary Neoplasms
TOX3,C1458155,Mammary Neoplasms
DLL1,C1458155,Mammary Neoplasms
MRPS28,C1458155,Mammary Neoplasms
MRPL13,C1458155,Mammary Neoplasms
SETD2,C1458155,Mammary Neoplasms
ITSN2,C1458155,Mammary Neoplasms
FOXP3,C1458155,Mammary Neoplasms
MRPS7,C1458155,Mammary Neoplasms
ANGPTL4,C1458155,Mammary Neoplasms
LEF1,C1458155,Mammary Neoplasms
EVL,C1458155,Mammary Neoplasms
MRPS23,C1458155,Mammary Neoplasms
WWOX,C1458155,Mammary Neoplasms
DLL4,C1458155,Mammary Neoplasms
RMND1,C1458155,Mammary Neoplasms
ELP3,C1458155,Mammary Neoplasms
FBXW7,C1458155,Mammary Neoplasms
TRERF1,C1458155,Mammary Neoplasms
PCDHGB6,C1458155,Mammary Neoplasms
CMC2,C1458155,Mammary Neoplasms
MRPS22,C1458155,Mammary Neoplasms
EMSY,C1458155,Mammary Neoplasms
GALNT16,C1458155,Mammary Neoplasms
ARRDC3,C1458155,Mammary Neoplasms
ZSWIM5,C1458155,Mammary Neoplasms
LGR6,C1458155,Mammary Neoplasms
TRMT11,C1458155,Mammary Neoplasms
RIC8A,C1458155,Mammary Neoplasms
FKBPL,C1458155,Mammary Neoplasms
MRPL9,C1458155,Mammary Neoplasms
FTO,C1458155,Mammary Neoplasms
DYNC2H1,C1458155,Mammary Neoplasms
PALB2,C1458155,Mammary Neoplasms
MED28,C1458155,Mammary Neoplasms
ADAM33,C1458155,Mammary Neoplasms
LIMD2,C1458155,Mammary Neoplasms
SLC2A10,C1458155,Mammary Neoplasms
ATG10,C1458155,Mammary Neoplasms
BRIP1,C1458155,Mammary Neoplasms
L3MBTL3,C1458155,Mammary Neoplasms
TMEM25,C1458155,Mammary Neoplasms
RSPO3,C1458155,Mammary Neoplasms
H2BC12,C1458155,Mammary Neoplasms
CTU1,C1458155,Mammary Neoplasms
MACIR,C1458155,Mammary Neoplasms
RCCD1,C1458155,Mammary Neoplasms
ALKBH8,C1458155,Mammary Neoplasms
MTDH,C1458155,Mammary Neoplasms
ATP6AP1L,C1458155,Mammary Neoplasms
LDHAL6B,C1458155,Mammary Neoplasms
FOXQ1,C1458155,Mammary Neoplasms
LRRC3B,C1458155,Mammary Neoplasms
KLHDC7A,C1458155,Mammary Neoplasms
FLACC1,C1458155,Mammary Neoplasms
METTL6,C1458155,Mammary Neoplasms
SPATA18,C1458155,Mammary Neoplasms
PPARGC1B,C1458155,Mammary Neoplasms
UBLCP1,C1458155,Mammary Neoplasms
CD109,C1458155,Mammary Neoplasms
RALYL,C1458155,Mammary Neoplasms
TAFA4,C1458155,Mammary Neoplasms
FGD5,C1458155,Mammary Neoplasms
NOP9,C1458155,Mammary Neoplasms
ZNF366,C1458155,Mammary Neoplasms
DTX3,C1458155,Mammary Neoplasms
NUDT17,C1458155,Mammary Neoplasms
APOBEC3A,C1458155,Mammary Neoplasms
NSUN6,C1458155,Mammary Neoplasms
RNF182,C1458155,Mammary Neoplasms
STXBP4,C1458155,Mammary Neoplasms
SNX32,C1458155,Mammary Neoplasms
H19,C1458155,Mammary Neoplasms
ANKRD34A,C1458155,Mammary Neoplasms
ZNF404,C1458155,Mammary Neoplasms
SLC10A6,C1458155,Mammary Neoplasms
CTU2,C1458155,Mammary Neoplasms
MALAT1,C1458155,Mammary Neoplasms
LINC00671,C1458155,Mammary Neoplasms
PLEKHD1,C1458155,Mammary Neoplasms
BCAR4,C1458155,Mammary Neoplasms
HAPLN4,C1458155,Mammary Neoplasms
MIR101-2,C1458155,Mammary Neoplasms
MIR10A,C1458155,Mammary Neoplasms
MIR10B,C1458155,Mammary Neoplasms
MIR126,C1458155,Mammary Neoplasms
MIR127,C1458155,Mammary Neoplasms
MIR132,C1458155,Mammary Neoplasms
MIR141,C1458155,Mammary Neoplasms
MIR145,C1458155,Mammary Neoplasms
MIR146A,C1458155,Mammary Neoplasms
MIR152,C1458155,Mammary Neoplasms
MIR200B,C1458155,Mammary Neoplasms
MIR200C,C1458155,Mammary Neoplasms
MIR205,C1458155,Mammary Neoplasms
MIR206,C1458155,Mammary Neoplasms
MIR214,C1458155,Mammary Neoplasms
MIR221,C1458155,Mammary Neoplasms
MIR222,C1458155,Mammary Neoplasms
MIR24-2,C1458155,Mammary Neoplasms
MIR29A,C1458155,Mammary Neoplasms
MIR301A,C1458155,Mammary Neoplasms
MIR342,C1458155,Mammary Neoplasms
MIR345,C1458155,Mammary Neoplasms
LRRC37A2,C1458155,Mammary Neoplasms
MIR31HG,C1458155,Mammary Neoplasms
MIR429,C1458155,Mammary Neoplasms
MIR489,C1458155,Mammary Neoplasms
KANSL1-AS1,C1458155,Mammary Neoplasms
MNX1-AS1,C1458155,Mammary Neoplasms
NORAD,C1458155,Mammary Neoplasms
ZNF667-AS1,C1458155,Mammary Neoplasms
OCLN,C1458155,Mammary Neoplasms
ACTB,C0024668,"Mammary Neoplasms, Experimental"
ACTG1,C0024668,"Mammary Neoplasms, Experimental"
ACTN4,C0024668,"Mammary Neoplasms, Experimental"
ADCY5,C0024668,"Mammary Neoplasms, Experimental"
AFP,C0024668,"Mammary Neoplasms, Experimental"
AGTR2,C0024668,"Mammary Neoplasms, Experimental"
ALCAM,C0024668,"Mammary Neoplasms, Experimental"
ANXA1,C0024668,"Mammary Neoplasms, Experimental"
ANXA4,C0024668,"Mammary Neoplasms, Experimental"
XIAP,C0024668,"Mammary Neoplasms, Experimental"
AQP1,C0024668,"Mammary Neoplasms, Experimental"
CCND1,C0024668,"Mammary Neoplasms, Experimental"
BRCA1,C0024668,"Mammary Neoplasms, Experimental"
DDR1,C0024668,"Mammary Neoplasms, Experimental"
CAPZB,C0024668,"Mammary Neoplasms, Experimental"
CCNH,C0024668,"Mammary Neoplasms, Experimental"
SCARB1,C0024668,"Mammary Neoplasms, Experimental"
CD44,C0024668,"Mammary Neoplasms, Experimental"
CDC42,C0024668,"Mammary Neoplasms, Experimental"
CDH1,C0024668,"Mammary Neoplasms, Experimental"
CDK4,C0024668,"Mammary Neoplasms, Experimental"
CDK6,C0024668,"Mammary Neoplasms, Experimental"
CDS1,C0024668,"Mammary Neoplasms, Experimental"
CNN3,C0024668,"Mammary Neoplasms, Experimental"
COL5A1,C0024668,"Mammary Neoplasms, Experimental"
CSN2,C0024668,"Mammary Neoplasms, Experimental"
CSN3,C0024668,"Mammary Neoplasms, Experimental"
SLC25A10,C0024668,"Mammary Neoplasms, Experimental"
DBI,C0024668,"Mammary Neoplasms, Experimental"
DES,C0024668,"Mammary Neoplasms, Experimental"
DUSP6,C0024668,"Mammary Neoplasms, Experimental"
S1PR1,C0024668,"Mammary Neoplasms, Experimental"
EEF1A1,C0024668,"Mammary Neoplasms, Experimental"
EGFR,C0024668,"Mammary Neoplasms, Experimental"
EIF5A,C0024668,"Mammary Neoplasms, Experimental"
ENO1,C0024668,"Mammary Neoplasms, Experimental"
EPHX1,C0024668,"Mammary Neoplasms, Experimental"
ERBB2,C0024668,"Mammary Neoplasms, Experimental"
ESR1,C0024668,"Mammary Neoplasms, Experimental"
ESR2,C0024668,"Mammary Neoplasms, Experimental"
FABP4,C0024668,"Mammary Neoplasms, Experimental"
ACSL1,C0024668,"Mammary Neoplasms, Experimental"
EFEMP1,C0024668,"Mammary Neoplasms, Experimental"
FN1,C0024668,"Mammary Neoplasms, Experimental"
GATA3,C0024668,"Mammary Neoplasms, Experimental"
GATM,C0024668,"Mammary Neoplasms, Experimental"
GGT1,C0024668,"Mammary Neoplasms, Experimental"
GH1,C0024668,"Mammary Neoplasms, Experimental"
GNAI2,C0024668,"Mammary Neoplasms, Experimental"
GSS,C0024668,"Mammary Neoplasms, Experimental"
HBA1,C0024668,"Mammary Neoplasms, Experimental"
HMOX1,C0024668,"Mammary Neoplasms, Experimental"
HNRNPA1,C0024668,"Mammary Neoplasms, Experimental"
HNRNPAB,C0024668,"Mammary Neoplasms, Experimental"
HRAS,C0024668,"Mammary Neoplasms, Experimental"
ID1,C0024668,"Mammary Neoplasms, Experimental"
ID3,C0024668,"Mammary Neoplasms, Experimental"
ID4,C0024668,"Mammary Neoplasms, Experimental"
IGF1,C0024668,"Mammary Neoplasms, Experimental"
IL6ST,C0024668,"Mammary Neoplasms, Experimental"
IL10,C0024668,"Mammary Neoplasms, Experimental"
INSIG1,C0024668,"Mammary Neoplasms, Experimental"
KRT5,C0024668,"Mammary Neoplasms, Experimental"
STMN1,C0024668,"Mammary Neoplasms, Experimental"
LGALS7,C0024668,"Mammary Neoplasms, Experimental"
LNPEP,C0024668,"Mammary Neoplasms, Experimental"
LPL,C0024668,"Mammary Neoplasms, Experimental"
EPCAM,C0024668,"Mammary Neoplasms, Experimental"
MDH2,C0024668,"Mammary Neoplasms, Experimental"
KITLG,C0024668,"Mammary Neoplasms, Experimental"
MGP,C0024668,"Mammary Neoplasms, Experimental"
MIF,C0024668,"Mammary Neoplasms, Experimental"
MMP2,C0024668,"Mammary Neoplasms, Experimental"
MMP9,C0024668,"Mammary Neoplasms, Experimental"
COX1,C0024668,"Mammary Neoplasms, Experimental"
OXT,C0024668,"Mammary Neoplasms, Experimental"
PEBP1,C0024668,"Mammary Neoplasms, Experimental"
FURIN,C0024668,"Mammary Neoplasms, Experimental"
PDGFA,C0024668,"Mammary Neoplasms, Experimental"
PGAM1,C0024668,"Mammary Neoplasms, Experimental"
PGR,C0024668,"Mammary Neoplasms, Experimental"
